Fecha_Grafico,Anio,Max_Dia,Min_Dia,Max_Hum,Min_Hum,ET_Dia,GD_Dia,Rocio_Prom,Lluvia_Dia,Prom_Temp,Prom_Hum
01/07/2023,2023,22.9,10.9,96,73,2.57,6.9,14.1,0.0,16.3,87.2
02/07/2023,2023,25.4,14.3,94,61,2.87,9.85,14.8,0.0,17.8,83.2
03/07/2023,2023,23.2,14.8,91,68,1.93,9.0,14.5,0.0,17.6,82.7
04/07/2023,2023,24.9,14.1,89,62,2.36,9.5,14.5,0.0,18.2,79.5
05/07/2023,2023,28.2,11.6,97,53,3.15,9.9,14.0,0.0,17.7,81.3
06/07/2023,2023,21.4,12.1,96,77,1.4,6.75,14.1,0.25,16.1,88.7
07/07/2023,2023,24.6,11.9,96,60,2.16,8.25,13.8,0.25,16.4,85.8
08/07/2023,2023,24.6,12.1,94,63,2.54,8.35,13.6,0.0,16.9,81.6
09/07/2023,2023,27.6,10.8,93,56,3.38,9.2,13.7,0.0,17.6,79.2
10/07/2023,2023,24.6,10.2,97,68,2.84,7.4,14.1,0.0,16.5,86.6
11/07/2023,2023,26.7,13.9,94,62,3.23,10.3,15.1,0.0,18.1,83.5
12/07/2023,2023,24.3,12.6,96,66,2.51,8.45,14.4,0.0,16.9,86.1
13/07/2023,2023,25.7,14.1,95,64,2.79,9.9,14.8,0.0,17.7,84.2
14/07/2023,2023,22.8,14.4,96,72,1.65,8.6,14.8,0.0,16.7,88.8
15/07/2023,2023,23.4,13.1,96,69,1.98,8.25,14.6,0.0,17.1,86.1
16/06/2023,2023,25.2,10.1,96,67,2.46,7.65,13.9,0.0,16.2,87.2
16/07/2023,2023,22.7,12.4,95,69,2.26,7.55,13.7,0.0,16.1,86.4
17/06/2023,2023,25.9,11.3,96,65,2.64,8.6,14.6,0.0,17.2,85.5
17/07/2023,2023,23.6,12.9,94,65,2.57,8.25,13.7,0.0,16.4,84.6
18/06/2023,2023,26.3,13.4,94,62,3.1,9.85,14.8,0.0,17.8,83.8
19/06/2023,2023,28.7,13.7,95,51,3.25,11.2,14.9,0.0,18.2,82.7
20/06/2023,2023,22.2,14.1,93,71,1.88,8.15,14.1,0.0,16.3,87.1
21/06/2023,2023,23.3,12.2,94,68,2.41,7.75,14.0,0.0,16.6,85.4
22/06/2023,2023,23.2,13.2,95,66,1.7,8.2,13.7,0.0,15.9,87.3
23/06/2023,2023,24.4,11.9,96,63,2.67,8.15,14.0,0.25,16.6,85.1
24/06/2023,2023,22.8,11.8,92,70,2.82,7.3,13.7,0.0,16.5,83.8
25/06/2023,2023,25.9,10.5,97,61,3.05,8.2,13.5,0.0,16.6,83.2
26/06/2023,2023,24.7,12.3,96,64,2.41,8.5,13.9,0.0,16.3,86.7
27/06/2023,2023,21.1,11.1,95,73,1.27,6.1,13.2,0.0,15.3,88.1
28/06/2023,2023,26.7,10.5,97,52,3.23,8.6,13.0,0.25,16.6,81.3
29/06/2023,2023,26.2,11.7,96,59,2.69,8.95,13.3,0.0,16.4,83.4
30/06/2023,2023,23.2,11.3,96,69,2.29,7.25,13.1,0.0,15.5,86.6
01/07/2024,2024,25.3,9.9,96,60,2.79,7.6,12.3,0.0,15.2,84.2
02/07/2024,2024,19.2,10.9,96,77,2.11,5.05,11.9,0.0,13.5,89.9
03/07/2024,2024,22.0,9.5,96,70,2.29,5.75,12.2,0.0,14.3,87.8
04/07/2024,2024,31.1,12.1,96,60,3.1,11.6,14.1,3.05,16.9,85.4
05/07/2024,2024,26.3,11.4,96,64,3.81,8.85,14.1,0.0,17.0,84.3
06/07/2024,2024,28.3,12.3,97,55,3.63,10.3,14.2,0.0,17.6,82.4
07/07/2024,2024,27.7,10.7,97,57,2.84,9.2,13.3,0.0,16.8,81.6
08/07/2024,2024,25.9,10.6,97,58,2.24,8.25,13.0,0.0,16.5,81.8
09/07/2024,2024,24.4,10.3,97,61,2.34,7.35,12.1,0.0,14.6,86.0
10/07/2024,2024,23.1,9.5,97,62,2.69,6.3,11.7,0.25,14.4,85.3
11/07/2024,2024,25.7,7.8,98,57,2.29,6.75,11.5,0.25,14.7,82.9
12/07/2024,2024,27.3,8.1,94,61,2.34,7.7,12.3,0.0,16.2,79.1
13/07/2024,2024,28.3,9.3,97,52,1.14,8.8,12.1,0.0,16.1,79.4
14/07/2024,2024,25.2,8.7,97,54,1.88,6.95,11.2,0.0,14.8,81.2
15/07/2024,2024,22.3,9.1,97,63,2.31,5.7,11.2,0.0,13.6,86.6
16/06/2024,2024,25.6,9.7,96,60,2.95,7.65,13.0,0.0,16.1,83.1
16/07/2024,2024,24.5,9.0,94,56,1.88,6.75,11.4,0.0,14.9,81.3
17/06/2024,2024,26.6,11.1,96,60,3.07,8.85,13.2,0.0,16.4,83.0
17/07/2024,2024,24.2,7.6,97,60,2.34,5.9,11.1,0.0,13.7,85.8
18/06/2024,2024,24.3,8.9,97,64,2.57,6.6,12.0,0.25,14.6,85.5
19/06/2024,2024,24.7,8.4,96,62,2.74,6.55,12.4,0.0,15.4,83.3
20/06/2024,2024,25.5,10.7,93,62,2.13,8.1,14.0,0.0,17.4,81.5
21/06/2024,2024,27.3,11.9,91,57,2.44,9.6,14.1,0.0,18.1,78.6
22/06/2024,2024,29.5,10.4,95,50,3.0,9.95,13.3,0.0,17.0,80.7
23/06/2024,2024,25.2,10.0,97,65,2.92,7.6,13.1,0.0,15.6,86.5
24/06/2024,2024,25.4,10.1,95,61,2.79,7.75,13.5,0.0,16.4,83.9
25/06/2024,2024,26.6,10.7,93,57,3.05,8.65,13.6,0.0,17.0,81.4
26/06/2024,2024,27.8,8.6,95,56,3.15,8.2,12.6,0.0,16.0,81.5
27/06/2024,2024,29.6,9.9,94,49,3.3,9.75,13.5,0.0,17.4,79.9
28/06/2024,2024,28.3,9.4,95,55,3.23,8.85,13.1,0.0,16.5,81.8
29/06/2024,2024,26.6,11.2,97,52,3.15,8.9,13.0,0.0,16.6,81.0
30/06/2024,2024,29.9,9.6,96,43,3.3,9.75,12.3,0.0,16.8,77.7
01/07/2025,2025,21.1,9.7,98,76,1.68,5.4,12.7,0.0,14.3,90.7
02/07/2025,2025,25.1,9.6,99,68,2.82,7.35,13.7,0.0,16.1,86.9
03/07/2025,2025,26.7,9.3,98,67,3.0,8.0,14.0,0.0,16.6,85.8
04/07/2025,2025,26.9,12.5,98,66,2.72,9.7,15.4,0.0,17.6,87.9
05/07/2025,2025,23.9,12.3,98,69,2.13,8.1,13.9,0.0,15.7,90.0
06/07/2025,2025,25.1,12.3,98,65,2.79,8.7,14.1,0.0,16.3,87.6
07/07/2025,2025,24.3,11.6,96,65,2.03,7.95,13.8,0.0,16.1,87.2
08/07/2025,2025,21.3,11.4,98,75,2.18,6.35,13.1,0.0,14.8,90.5
09/07/2025,2025,22.4,10.7,96,68,2.24,6.55,12.8,0.0,15.0,87.5
10/07/2025,2025,22.7,11.2,98,67,2.21,6.95,12.5,0.0,14.8,87.5
11/07/2025,2025,22.2,10.1,96,68,2.01,6.15,12.3,0.25,14.5,87.3
12/07/2025,2025,25.0,9.7,99,59,2.49,7.35,12.2,0.25,15.0,85.2
13/07/2025,2025,27.0,8.0,98,51,2.84,7.5,12.1,0.0,15.3,83.6
14/07/2025,2025,25.7,11.4,98,57,2.72,8.55,13.0,0.0,15.7,85.4
15/07/2025,2025,22.3,11.6,96,66,2.39,6.95,12.6,0.0,14.8,87.1
16/06/2025,2025,25.3,12.6,97,70,2.36,8.95,15.3,0.0,17.5,87.8
16/07/2025,2025,22.2,10.4,98,66,1.93,6.3,12.2,0.0,14.5,87.1
17/06/2025,2025,25.2,11.1,98,66,2.79,8.15,14.1,0.0,16.5,87.0
17/07/2025,2025,22.9,10.6,97,64,1.93,6.75,12.2,0.0,14.8,85.3
18/06/2025,2025,25.9,10.2,98,63,2.72,8.05,13.8,0.0,16.6,84.9
19/06/2025,2025,20.2,11.8,97,77,1.19,6.0,13.5,0.0,15.0,91.3
20/06/2025,2025,23.2,9.1,94,69,2.29,6.15,13.6,0.0,16.0,86.4
21/06/2025,2025,20.0,8.4,98,75,1.19,4.2,12.0,0.0,13.5,91.1
22/06/2025,2025,16.6,12.2,98,84,0.58,4.4,12.8,0.51,14.1,91.7
23/06/2025,2025,23.7,11.9,93,70,1.96,7.8,13.7,0.0,16.4,85.0
24/06/2025,2025,28.1,10.8,97,62,2.9,9.45,15.1,0.0,18.7,80.9
25/06/2025,2025,27.9,12.6,95,61,2.08,10.25,14.9,0.0,18.3,81.6
26/06/2025,2025,28.3,12.4,98,60,2.92,10.35,14.8,0.0,17.6,85.3
